timestamp,tweet_text,username,all_hashtags,followers_count
2019-12-07 23:58:53,"AMAZON 69% Price Drop – $3.63 Ecstasy Lubricated Condoms, 10 Count!! #Deals #Amazon #Sales #BlackFriday #CyberMonday https://t.co/zU8utKnkJF",DealandSale,"[u'Deals', u'Amazon', u'Sales', u'BlackFriday', u'CyberMonday']",755
2019-12-07 23:49:07,"AMAZON Deal Of The Day - Huge Price Drop On Select Barware Gifts, As Low As $9.73!! #Deals #Amazon #Sales #BlackFriday #CyberMonday https://t.co/4AiFgkbzaS",DealandSale,"[u'Deals', u'Amazon', u'Sales', u'BlackFriday', u'CyberMonday']",755
2019-12-07 23:41:37,"AMAZON Hot Price – $11.97 POWERADE, Mountain Berry Blast, 20 fl oz, 24 Pack!! #Deals #Amazon #Sales #BlackFriday #CyberMonday https://t.co/i8OYflEStJ",DealandSale,"[u'Deals', u'Amazon', u'Sales', u'BlackFriday', u'CyberMonday']",755
2019-12-07 23:35:26,AMAZON 71% Price Drop – $9.99 Echo Input – Bring Alexa to your own speaker!! #Deals #Amazon #Sales #BlackFriday #CyberMonday https://t.co/9ONUUmcjOV,DealandSale,"[u'Deals', u'Amazon', u'Sales', u'BlackFriday', u'CyberMonday']",755
2019-12-07 23:27:02,"AMAZON 20% Price Drop – $9.98 Scott ComfortPlus Toilet Paper, 24 Double Rolls (Equal to 48 Regular Rolls)!! #Deals #Amazon #Sales #BlackFriday #CyberMonday https://t.co/zQRm46rWm0",DealandSale,"[u'Deals', u'Amazon', u'Sales', u'BlackFriday', u'CyberMonday']",755
2019-12-07 23:25:30,"StÃ¼hrling Original Mens Watch Stainless Steel Automatic, Skeleton Dial, Dual Time, AM/PM Sun Moon,Genuine Leather Strap 371 Watches for Men Series https://t.co/uN0g3wR3nG #watches #clock #jewelry #trends #fashion #thanksgiving #gifts @amazon #amazon #blackfriday https://t.co/17lagQ3g16",humanwatches,"[u'watches', u'clock', u'jewelry', u'trends', u'fashion', u'thanksgiving', u'gifts', u'amazon', u'blackfriday']",8
2019-12-07 23:18:24,"AMAZON 50% Price Drop – $64.99 Instant Pot 60 DUO Plus 6 Qt 9-in-1 Multi-Use Programmable Pressure Cooker, Stainless Steel/Black!! #Deals #Amazon #Sales #BlackFriday #CyberMonday https://t.co/W7NyDPBhev",DealandSale,"[u'Deals', u'Amazon', u'Sales', u'BlackFriday', u'CyberMonday']",755
2019-12-07 23:12:45,"RT @ readeandwrite It's #BlackFriday and Lilly walks into her jewelry shop to find a body on the floor.   What else could possibly go wrong?  THE WORST NOEL  #Amazon: https://t.co/fHRfDHstyY  #Nook, #Kobo, etc.: https://t.co/sR37eFiCEr  #cozymystery #humor #recipes #Christmas #HolidaysAreComing https://t.co/EipuLcAADo",DianaMSharpton,[u'BlackFriday'],21488
2019-12-07 23:08:50,AMAZON 40% Off Code – $8.39-11.99 Rechargeable Bike Wheel Hub LED Lights (1 or 2 Pack) #Deals #Amazon #Sales #BlackFriday #CyberMonday https://t.co/M2rGY1DTGm,DealandSale,"[u'Deals', u'Amazon', u'Sales', u'BlackFriday', u'CyberMonday']",755
2019-12-07 23:03:50,Abs Beat workout | Listen Exclusive fitness &amp; weight loss programs. Listen in the Audible app. Sign up for Free Today! https://t.co/QUeaz7FKBG #amazon @amazon #audible #abs #workout #fitness #loseweight #blackfriday #thanksgiving https://t.co/zmhzJvOAYu,ItShouldBeYour,"[u'amazon', u'audible', u'abs', u'workout', u'fitness', u'loseweight', u'blackfriday', u'thanksgiving']",75
