timestamp,tweet_text,username,all_hashtags,followers_count
2019-11-24 22:30:00,Walmart's Black Friday ad: Here are the best deals! https://t.co/vnegcyOEYw #Walmart #BlackFriday #deals https://t.co/XQNOi6IUnC,ClarkDeals,"[u'Walmart', u'BlackFriday', u'deals']",3890
2019-11-24 19:48:38,"RT @ CouponsFreebie #ENTER TO #WIN $100 #Amazon, #Target, #Walmart #Gift Card at https://t.co/VDx48f80po  #giftcard #sweeps #sweepstakes #winners #win #moms #kids #shopping #deals #Christmas #BlackFriday #holidays #holiday #holidaygiftguide #bargain #giveaway #WinItWednesday #coupon #coupons https://t.co/JCwAvRYF3K",_Noshii_,"[u'ENTER', u'WIN', u'Amazon', u'Target', u'Walmart', u'Gift', u'giftcard', u'sweeps', u'sweepstakes']",399
2019-11-24 19:47:27,"RT @ CouponsFreebie #ENTER TO #WIN $100 #Amazon, #Target, #Walmart #Gift Card at https://t.co/VDx48f80po  #giftcard #sweeps #sweepstakes #winners #win #moms #kids #shopping #deals #Christmas #BlackFriday #holidays #holiday #holidaygiftguide #bargain #giveaway #WinItWednesday #coupon #coupons https://t.co/JCwAvRYF3K",1560gl,"[u'ENTER', u'WIN', u'Amazon', u'Target', u'Walmart', u'Gift', u'giftcard', u'sweeps', u'sweepstakes']",275
2019-11-24 18:46:29,Hoping to pick up a ⁦@Roku⁩ Ultra with Free JBL Buds at ⁦@Walmart⁩ on Black Friday. #BlackFriday #walmart https://t.co/Ex0SbbgZzu,Wolfieboy762,"[u'BlackFriday', u'walmart']",71
2019-11-24 18:38:00,"🎶🔊🎵 #NEWMUSIC Get Out The Way, It's #BlackFriday - Get In Da Corner 2013 #Music   #LiveMusic #BlackFriday2019 #WalMart #Metal #BlackFridayDeals #CyberMonday   https://t.co/ZcN4DHVFLk",YukNassty_,"[u'NEWMUSIC', u'BlackFriday', u'Music', u'LiveMusic', u'BlackFriday2019', u'WalMart', u'Metal', u'BlackFridayDeals', u'CyberMonday']",4119
2019-11-24 18:26:20,Can't Wait For #Blackfriday at #Walmart https://t.co/4XFHzUGGtb,800GETTRIGGERED,"[u'Blackfriday', u'Walmart']",165
2019-11-24 18:05:50,#BlackFriday always lit seee soooo many people fighting over weird shit like a coffee pot at #Walmart 🤣🤣🤣🤣🤣🤦🏾‍♂️,rude_boi52,"[u'BlackFriday', u'Walmart']",84
2019-11-24 18:00:34,Our gift to you this holiday season is some serious Black Friday Deals! Shop Ematic projectors at their lowest prices ever! https://t.co/7foS08yrtG #Ematic #Projectors #BlackFriday #Sale #Walmart #BlackFridayDeals #HolidayShopping,eMaticOfficial,"[u'Ematic', u'Projectors', u'BlackFriday', u'Sale', u'Walmart', u'BlackFridayDeals', u'HolidayShopping']",2821
2019-11-24 17:22:43,Black Friday tech deals - https://t.co/Ye7r6L29fs #walmart #blackfriday #sales,DTWriters,"[u'walmart', u'blackfriday', u'sales']",11803
2019-11-24 16:46:46,"#Walmart EARLY BLACK FRIDAY Deal: Save $210 on Mixer, Espresso (KSM150PSES) - Closeout #blackfriday2019 #blackfriday #amazon  #SundayThoughts Goo Hara shop now : https://t.co/BNINZIonLW",AtoZBlackFriday,"[u'Walmart', u'blackfriday2019', u'blackfriday', u'amazon', u'SundayThoughts']",448
