timestamp,tweet_text,username,all_hashtags,followers_count
2019-11-27 23:38:58,Want some rare #Sonic figures? Check this out! Message me on eBay if you want to negotiate a price! #SonicTheHedgehog #Figures #ebay #toys #blackfriday #rare #discontinued  https://t.co/nSYMkV2bcG,Mikey4wf,"[u'Sonic', u'SonicTheHedgehog', u'Figures', u'ebay', u'toys', u'blackfriday', u'rare', u'discontinued']",1193
2019-11-27 23:18:31,RT @ nikkisuniques Black Friday starts now!!!! Most items are marked down 50% off!!!!!! https://t.co/GortQy9aQ1 Thanks for supporting my little shop😘😘😘 #BlackFriday #CyberMonday #ebay #ebaysale #shoplocal #SmallBusinessSaturday #smallshop #nikkisuniques https://t.co/uaChocq68p,cottage_green,[],5347
2019-11-27 22:59:45,#Marvel Super Heroes 18 #CGC 8.0  Signed by #stanlee 1st #guardiansofthegalaxy #comics #comicbooks #ebay #ebayfinds #ebaydeals #BlackFriday https://t.co/WxY1xz84yI,rapp9,"[u'Marvel', u'CGC', u'stanlee', u'guardiansofthegalaxy', u'comics', u'comicbooks', u'ebay', u'ebayfinds', u'ebaydeals', u'BlackFriday']",24
2019-11-27 21:52:16,RT @ map2271 Never to early to think about #NewYears Resolutions!! Grab this #Beachbody Debbie Siebers Slim in 6 Series DVD Set while it's #onsale for #BlackFriday - Available on #eBay https://t.co/nRivGmrHwf #shopsmall #ebayROCteam #SmallBizSat #onlineshopping #Christmasshopping  #eBayDeals https://t.co/uUychM2xNV,dawnsbargains,"[u'NewYears', u'Beachbody']",2677
2019-11-27 21:49:59,RT @ supergirlebay Check out #BlanketsAndBeyond Elephant #Lovey #SecurityBlanket Grey Blue  #ebay #shopsmall #ebayrocteam #blackfriday #cybermonday #smallbusinesssaturday Pacifer Loop https://t.co/cYPanY9mqE @eBay,dawnsbargains,"[u'BlanketsAndBeyond', u'Lovey', u'SecurityBlanket', u'ebay', u'shopsmall', u'ebayrocteam', u'blackfriday']",2677
2019-11-27 21:49:45,RT @ supergirlebay Check out #MickeyMouseClubhouse #MinnieMouse Singing Talking Bow-tique Song Phrases #Doll #Plush  #ebay #shopsmall #ebayrocteam #blackfriday #cybermonday #smallbusinesssaturday https://t.co/UoPnT6aWWo @eBay,dawnsbargains,"[u'MickeyMouseClubhouse', u'MinnieMouse', u'Doll', u'Plush', u'ebay', u'shopsmall']",2677
2019-11-27 21:15:02,RT @ eBayFashions Check out VICTORIA'S SECRET PINK PINEAPPLE WITH CRAZY STRAW BOTTLE CUP #VictoriasSecret https://t.co/Ja3GMTlRMN via @eBay #ebay #FreeShipping #PINKNation #BlackFriday,UKEtsyRT,[u'VictoriasSecret'],615
2019-11-27 21:10:11,RT @ eBayFashions Check out VICTORIA'S SECRET PINK PINEAPPLE WITH CRAZY STRAW BOTTLE CUP #VictoriasSecret https://t.co/Ja3GMTlRMN via @eBay #ebay #FreeShipping #PINKNation #BlackFriday,eBayVicky,[u'VictoriasSecret'],124
2019-11-27 20:57:41,I can't wait for Black Friday Deals!  #Coupons #Amazon #Walgreens #Ebay #Walmart #ImReady #BlackFriday #BlackFridayDeals #Coupons,SavingsWithUs_,"[u'Coupons', u'Amazon', u'Walgreens', u'Ebay', u'Walmart', u'ImReady', u'BlackFriday', u'BlackFridayDeals', u'Coupons']",1
2019-11-27 20:33:24,RT @ HiLiran_israel Check out VINTERFEST Tin with lid IKEA set of 3 mixed sizes white/red candy cane Christmas #IKEA https://t.co/YyagpL6HF4 via @eBay #ebay #sell #shop #shopping #blackfriday #xmas #decor #gift #storage #cute #candycane #christmas #bargain #ikea #tin #christmasgiftideas #kids,HiLiran_israel,[u'IKEA'],1038
