timestamp,tweet_text,username,all_hashtags,followers_count
2019-11-29 21:39:28,#BlackFriday is here! Current #Wish App customers can get up to 50% off their order by using code word DEALS at checkout .  New Wish #app customers can use code WXBRYVT to get up to 50% off their first order. Download the app at https://t.co/qsnNjPKTnz,thekoreanmatrix,"[u'BlackFriday', u'Wish', u'app']",194
2019-11-29 19:01:20,"Don't feel like waiting in long lines for #BlackFriday Deals? We don't blame you. That's why we made it easy for you to shop on the Wish app, choose your items, skip the lines and Pickup your order instantly! It's that simple! Happy Holidays from #Wish 🎁https://t.co/jtNHDQVHfw https://t.co/G391Mp6Fjw",WishShopping,"[u'BlackFriday', u'Wish']",196127
2019-11-29 17:44:08,@appleinsider Oh fingers and toes crossed @PhyliciaSP @goldiebear24  #BlackFriday  #iPad #wish https://t.co/HXHhXNTfBd,Roscoe1679,"[u'BlackFriday', u'iPad', u'wish']",2296
2019-11-29 17:02:10,"RT @ ZuEsTheLYCAN ""The Wish Factor"" https://t.co/fNpyIEactJ via @YouTube #WISH #wishfactor @CedEntertainer #BlackFriday #funny #comedy #creator  #blacktwitter #youtube #humor #viral #retweet #YouTubersReact #subscribe #DragonBallSuper #laugh #TrendingNow",Horus_Jr,"[u'WISH', u'wishfactor', u'BlackFriday', u'funny', u'comedy']",69
2019-11-29 16:41:00,It`s #BlackFriday today &amp; who doesn't love a #ShoppingSpree?! Our #Wish Kid Allison loves to shop and got treated like royalty 👑 at the @ShopRiverchase.  @claires | @journeys | @jcpenney | @SKECHERSUSA   #GivingTuesday   https://t.co/hX1iH8QPJ2 https://t.co/jwo7UkbyXh,kidswishnetwork,"[u'BlackFriday', u'ShoppingSpree', u'Wish', u'GivingTuesday']",3337
2019-11-29 16:36:24,@iRobot One of these days it will be mine!  #wish  #blackfriday https://t.co/tIN9LlEwWK,Roscoe1679,"[u'wish', u'blackfriday']",2296
2019-11-29 16:28:05,"From high-end PCs to toilets, coloured lights can make anything look dope! Maybe add one of these to your Black Friday shopping list? 🤣 @matylang @Hotfiya @DownStab #glowup #wish #podcast #shopping #blackfriday #bossrush #lighting https://t.co/PAwDq0mwka",inthirdperson,"[u'glowup', u'wish', u'podcast', u'shopping', u'blackfriday', u'bossrush', u'lighting']",92
2019-11-29 15:58:33,#Wish: For #BlackFriday we're selling a gross of hot pink nipple clamps for 5 bucks. #BedBathandBeyond: ...#holdmybeer #blackfriday2019 #sales #shopping #gifts #facebookads #gottago #fortheladies #blackfridayshopping https://t.co/7NuWC1Rxyj,nomadixxx,"[u'Wish', u'BlackFriday', u'BedBathandBeyond', u'holdmybeer', u'blackfriday2019', u'sales', u'shopping', u'gifts', u'facebookads', u'gottago', u'fortheladies', u'blackfridayshopping']",1379
2019-11-29 15:29:27,"""The Wish Factor"" https://t.co/fNpyIEactJ via @YouTube #WISH #wishfactor @CedEntertainer #BlackFriday #funny #comedy #creator  #blacktwitter #youtube #humor #viral #retweet #YouTubersReact #subscribe #DragonBallSuper #laugh #TrendingNow",ZuEsTheLYCAN,"[u'WISH', u'wishfactor', u'BlackFriday', u'funny', u'comedy', u'creator', u'blacktwitter', u'youtube', u'humor', u'viral', u'retweet', u'YouTubersReact', u'subscribe', u'DragonBallSuper', u'laugh', u'TrendingNow']",93
2019-11-29 13:46:56,"Black Friday... but Friday I’m In Love #fridayiminlove #friday #thecure #robertsmith #robertsmithfridayiminlove #blackfriday #wish #thecurewish #cd #Lp #vinyl #records #aquariusmusicshop #cedeterija @ Zagreb, Croatia https://t.co/jByMgriE06",CeDeterija,"[u'fridayiminlove', u'friday', u'thecure', u'robertsmith', u'robertsmithfridayiminlove', u'blackfriday', u'wish', u'thecurewish', u'cd', u'Lp', u'vinyl', u'records', u'aquariusmusicshop', u'cedeterija']",926
2019-11-29 13:24:35,"If you are out shopping today and see a great bargain, don't forget @OMHSWFL! We have a #wish list, too! You can help us check some things off our list. https://t.co/sbCoePHvkU #swfl #blackfriday https://t.co/IkDJTO606c",OMHSWFL,"[u'wish', u'swfl', u'blackfriday']",5
2019-11-29 12:30:29,"Don't forget ladies, it's 10% off everything! #BlackFriday means great #Savings on your #Fashion this weekend at #Wish !! Why not #TreatYourself - or another - the shop is filled with #NewArrivals and hopefully #SomethingForEveryone #FashionForward #ComeSee #ShopLocal #Burnley https://t.co/f37FInYvH5",Wish_Burnley,"[u'BlackFriday', u'Savings', u'Fashion', u'Wish', u'TreatYourself', u'NewArrivals', u'SomethingForEveryone', u'FashionForward', u'ComeSee', u'ShopLocal', u'Burnley']",547
2019-11-29 12:27:53,If you're not happy with your #blackfriday promo code on #Wish you can also use this referral code: xlbrtkq when signing up and help me buying #Christmas presents at the same time❤️,JoelStone16,"[u'blackfriday', u'Wish', u'Christmas']",25
2019-11-29 07:30:48,RT @ JewelleryBlue https://t.co/BdJX9ZF4wh BLACK FRIDAY 25% OFF :) 😍💕💘🎄🎅  #love #etsy #etsyshop #gift #handmade #handmadejewelry #fashion #necklace #christmas #sale #art #dandelion   #giftideas #ChristmasReservations #ResinJewelryNecklace #umbrella #resin #sale #lifestyle #wish #BlackFriday https://t.co/4QVDJyX3CM,EdinburghWatch,"[u'love', u'etsy', u'etsyshop', u'gift', u'handmade', u'handmadejewelry', u'fashion']",9147
2019-11-29 07:30:15,https://t.co/BdJX9ZF4wh BLACK FRIDAY 25% OFF :) 😍💕💘🎄🎅  #love #etsy #etsyshop #gift #handmade #handmadejewelry #fashion #necklace #christmas #sale #art #dandelion   #giftideas #ChristmasReservations #ResinJewelryNecklace #umbrella #resin #sale #lifestyle #wish #BlackFriday https://t.co/4QVDJyX3CM,JewelleryBlue,"[u'love', u'etsy', u'etsyshop', u'gift', u'handmade', u'handmadejewelry', u'fashion', u'necklace', u'christmas', u'sale', u'art', u'dandelion', u'giftideas', u'ChristmasReservations', u'ResinJewelryNecklace', u'umbrella', u'resin', u'sale', u'lifestyle', u'wish', u'BlackFriday']",1
